x
1	cg10115148
2	cg23260554
3	cg27531496
4	cg08732466
5	cg05223638
6	cg10696969
7	cg06099439
8	cg03082523
9	cg03347306
10	cg06824308
11	cg24878051
12	cg04094178
13	cg10310168
14	cg17907200
15	cg20252997
16	cg02411275
17	cg19821682
18	cg20794208
19	cg27223158
20	cg27393162
21	cg18974111
22	cg00223046
23	cg04215950
24	cg03580787
25	cg10521808
26	cg19164131
27	cg01550397
28	cg18795022
29	cg06830167
30	cg01689796
31	cg11999044
32	cg21158795
33	cg09064486
34	cg23799025
35	cg26811904
36	cg17810211
37	cg27573298
38	cg26353598
39	cg25278154
40	cg05033389
41	cg26910132
42	cg12907295
43	cg18106186
44	cg05335953
45	cg21856670
46	cg04977858
47	cg03315346
48	cg23206822
49	cg03224850
50	cg17753162
51	cg01443433
52	cg00171942
53	cg26898039
54	cg27559224
55	cg21440084
56	cg00124902
57	cg11694026
58	cg00557099
59	cg14093106
60	cg16149574
61	cg26150621
62	cg11684734
63	cg05812697
64	cg25281584
65	cg08106706
66	cg25286579
67	cg00954256
68	cg19679543
69	cg19302183
70	cg08118140
71	cg20161095
72	cg26052885
73	cg16648841
74	cg10620457
75	cg15158891
76	cg02620533
77	cg12596692
78	cg03517160
79	cg18287310
80	cg13691257
81	cg00944580
82	cg15553814
83	cg12629008
84	cg17502213
85	cg00694557
86	cg22340807
87	cg14074626
88	cg16031501
89	cg03140289
90	cg07579123
91	cg24052817
92	cg13072098
93	cg04885825
94	cg11152167
95	cg01827202
96	cg03050981
97	cg11807188
98	cg11228758
99	cg07959978
100	cg12277524
101	cg06160606
102	cg10495572
103	cg12758960
104	cg12270633
105	cg20812318
106	cg22949256
107	cg25030888
108	cg24145020
109	cg26426334
110	cg27173965
111	cg06436573
112	cg17987458
113	cg19412808
114	cg16409235
115	cg25939869
116	cg12603671
117	cg16823292
118	cg16996682
119	cg12302119
120	cg15553840
121	cg09664314
122	cg05928873
123	cg04933601
124	cg23589587
125	cg17755518
126	cg15990658
127	cg17041296
128	cg25312440
129	cg09867656
130	cg11348257
131	cg09580755
132	cg26256154
133	cg07163168
134	cg17891928
135	cg21867608
136	cg17325792
137	cg19748436
138	cg05948962
139	cg17283111
140	cg05347985
141	cg20159871
142	cg17750919
143	cg01952027
144	cg09115009
145	cg17175521
146	cg06903369
147	cg16058975
148	cg17011453
149	cg26032419
150	cg01913577
151	cg01074896
152	cg26542856
153	cg04789392
154	cg05781609
155	cg07247409
156	cg23717593
157	cg07198150
158	cg00958100
159	cg06099303
160	cg17475733
161	cg03513309
162	cg20000805
163	cg11230002
164	cg01566312
165	cg16320208
166	cg00252408
167	cg26330928
168	cg00654657
169	cg23598604
170	cg00325558
171	cg06223162
172	cg01779525
173	cg14043702
174	cg07830156
175	cg03953832
176	cg03585329
177	cg09180564
178	cg14174502
179	cg00583780
180	cg07188009
181	cg09222982
182	cg14257396
183	cg01939741
184	cg09030212
185	cg03045699
186	cg05802545
187	cg02565878
188	cg09864843
189	cg16252973
190	cg17711754
191	cg17898124
192	cg13931292
193	cg01815536
194	cg20769683
195	cg09141557
196	cg26340088
197	cg25940606
198	cg26399903
199	cg24843535
200	cg26152038
201	cg08140774
202	cg07191839
203	cg02393684
204	cg19855573
205	cg10500702
206	cg17542852
207	cg18116418
208	cg27206522
209	cg16361876
210	cg21312148
211	cg13844662
212	cg24332770
213	cg22616525
214	cg16354520
215	cg00242098
216	cg25104107
217	cg11835200
218	cg08878744
219	cg16265542
220	cg00998782
221	cg09542291
222	cg02855850
223	cg08948808
224	cg27569034
225	cg25856811
226	cg10812889
227	cg03943115
228	cg20612962
229	cg08009265
230	cg27631593
231	cg03449150
232	cg11267802
233	cg00298977
